source_dir,mode,active,rps,slo_scale,mix,raw_engine_tok_s,raw_decode_tok_s,goodput_tok_s,goodput_raw_ratio,mean_tpot_ms,overall_attain,tight_attain,normal_attain,loose_attain,tight_mean_tpot_ms,normal_mean_tpot_ms,loose_mean_tpot_ms,tight_n,normal_n,loose_n,engine_elapsed_s,total_output_tokens,attained_output_tokens,file,path
raw,serialized_pearl,64,2,,,313.20636749077636,327.3009404953043,204.3146545800003,0.6523323782234957,48.91707651078484,0.62890625,0.474025974025974,0.7254901960784313,1.0,42.74900398363183,46.84820737414146,69.61110582745886,154,51,51,139.2851631641388,43625.0,28458.0,serial_active64_rps2.json,rps_shifted_n256_active64_mode_sweep/raw/serial_active64_rps2.json
raw,serialized_pearl,64,2.4,,,367.96408274413494,384.2065855446771,193.88187313928086,0.5269043426559034,53.824588418326215,0.49609375,0.2857142857142857,0.6274509803921569,1.0,48.169115644475376,49.28795898434041,75.4385277968812,154,51,51,118.84040331840515,43729.0,23041.0,serial_active64_rps2p4.json,rps_shifted_n256_active64_mode_sweep/raw/serial_active64_rps2p4.json
raw,serialized_pearl,64,2.8,,,420.31200167246186,438.466033765869,178.41132091481052,0.42447353443369384,57.12275534708029,0.38671875,0.14285714285714285,0.5098039215686274,1.0,51.50946076195851,52.24314719908101,78.95231185015321,154,51,51,104.50570011138916,43925.0,18645.0,serial_active64_rps2p8.json,rps_shifted_n256_active64_mode_sweep/raw/serial_active64_rps2p8.json
raw,serialized_pearl,64,3.2,,,475.36428366835594,495.94140658136007,176.9687005370422,0.3722801788375559,60.34311498447488,0.32421875,0.07792207792207792,0.39215686274509803,1.0,55.26549277990888,53.50706281390071,82.5115949884444,154,51,51,91.75068783760071,43615.0,16237.0,serial_active64_rps3p2.json,rps_shifted_n256_active64_mode_sweep/raw/serial_active64_rps3p2.json
raw,serialized_pearl,64,3.6,,,510.71454280148873,531.8780073875229,168.0267871591977,0.3290033337165192,62.942510252576504,0.2734375,0.045454545454545456,0.23529411764705882,1.0,57.46077740155021,57.37298475834374,85.0647192577514,154,51,51,85.16499209403992,43495.0,14310.0,serial_active64_rps3p6.json,rps_shifted_n256_active64_mode_sweep/raw/serial_active64_rps3p6.json
raw,serialized_pearl,64,4,,,549.5013096997502,571.5134181357367,167.29963034355833,0.304457200356759,64.42259283445453,0.24609375,0.025974025974025976,0.1568627450980392,1.0,58.660678728029204,59.819759735354154,86.4241469608,154,51,51,79.5757884979248,43727.0,13313.0,serial_active64_rps4.json,rps_shifted_n256_active64_mode_sweep/raw/serial_active64_rps4.json
raw,serialized_pearl,64,6,,mix433,572.1028664411567,584.3026560343749,219.66979050858345,0.3839690436705362,78.31829291208537,0.3046875,0.0,0.012987012987012988,1.0,62.203844254169645,78.91944299870082,99.06355533335827,102,77,77,79.05046916007996,45225.0,17365.0,serial_active64_rps6_mix433.json,rps6_mix_sweep_active64/raw/serial_active64_rps6_mix433.json
raw,serialized_pearl,64,6,,mix525252,616.0721530422338,632.0923518880348,205.00372375841192,0.33275927624074614,73.88521707239262,0.26171875,0.0,0.046875,1.0,61.60651613896436,76.23695853554361,96.09087747609816,128,64,64,72.57429146766663,44711.0,14878.0,serial_active64_rps6_mix525252.json,rps6_mix_sweep_active64/raw/serial_active64_rps6_mix525252.json
raw,serialized_pearl,64,6,,mix71515,644.1321402212438,668.402865485272,141.5753082246821,0.21979233667187356,64.51956900323611,0.171875,0.00558659217877095,0.10526315789473684,1.0,59.296014430919136,69.1151908772662,84.01655970148215,179,38,39,67.58240628242493,43532.0,9568.0,serial_active64_rps6_mix71515.json,rps6_mix_sweep_active64/raw/serial_active64_rps6_mix71515.json
rps6_shifted_parallel_active_sweep,parallel_pearl,8,,,,207.44596240647348,208.66952367433143,200.15027786999494,0.9648309157148923,35.75379179260981,0.955078125,0.93,0.9813084112149533,1.0,28.937443109967827,37.07339616132887,53.88433405298748,300,107,105,431.35088753700256,89482.0,86335.0,pearl_serial_active8.json,rps6_shifted_parallel_active_sweep/pearl_serial_active8.json
rps6_shifted_parallel_active_sweep,parallel_pearl,16,,,,372.4568032563439,376.43623045103806,349.7193614394296,0.9389528084381231,38.030925572342454,0.92578125,0.8966666666666666,0.9345794392523364,1.0,30.62724826527332,39.89544260532753,57.28425766368852,300,107,105,241.05614185333252,89783.0,84302.0,pearl_serial_active16.json,rps6_shifted_parallel_active_sweep/pearl_serial_active16.json
rps6_shifted_parallel_active_sweep,parallel_pearl,32,,,,547.6899665514572,556.3554878105242,378.5633537485329,0.6912000892259648,48.49206384138561,0.65625,0.62,0.4205607476635514,1.0,39.67344076592206,51.83937921879095,70.27705600573508,300,107,105,163.70575594902039,89660.0,61973.0,pearl_serial_active32.json,rps6_shifted_parallel_active_sweep/pearl_serial_active32.json
rps6_shifted_parallel_active_sweep,parallel_pearl,64,,,,749.3132839718133,765.6236029449747,266.8771012404099,0.35616224475001956,62.21935719277864,0.3046875,0.09666666666666666,0.205607476635514,1.0,52.71386185543555,61.94480518843554,89.65769686580376,300,107,105,119.6655683517456,89667.0,31936.0,pearl_serial_active64.json,rps6_shifted_parallel_active_sweep/pearl_serial_active64.json
rps6_shifted_serial_active_sweep,serialized_pearl,8,,,,175.38394878153062,176.27168074817425,154.874449056411,0.8830594255197918,42.49085419739342,0.865234375,0.84,0.8037383177570093,1.0,34.2248402881312,44.318657142638756,64.24541855584498,300,107,105,510.34886956214905,89507.0,79040.0,pearl_serial_active8.json,rps6_shifted_serial_active_sweep/pearl_serial_active8.json
rps6_shifted_serial_active_sweep,serialized_pearl,16,,,,314.21063164532285,317.05994191378807,254.86105740473337,0.8111153211786208,45.62707409348606,0.787109375,0.77,0.6261682242990654,1.0,36.68505500113471,48.36143003216555,68.3892611626927,300,107,105,285.5791337490082,89732.0,72783.0,pearl_serial_active16.json,rps6_shifted_serial_active_sweep/pearl_serial_active16.json
rps6_shifted_serial_active_sweep,serialized_pearl,32,,,,481.44041386813126,488.1690472894695,234.78383029865003,0.4876695506558749,55.97504419361327,0.443359375,0.35,0.1588785046728972,1.0,45.62582136079905,59.61854270873569,81.83135380052913,300,107,105,186.05625414848328,89575.0,43683.0,pearl_serial_active32.json,rps6_shifted_serial_active_sweep/pearl_serial_active32.json
rps6_shifted_serial_active_sweep,serialized_pearl,64,,,,674.7961126446974,688.092176949476,192.33090480541316,0.28502076583046615,70.91357033545736,0.2265625,0.006666666666666667,0.08411214953271028,1.0,59.41485234140921,72.27772301502544,102.37691377832081,300,107,105,133.09353494644165,89811.0,25598.0,pearl_serial_active64.json,rps6_shifted_serial_active_sweep/pearl_serial_active64.json
